City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hilo,19.7297,-155.09,73.4,60,20,4.61,US,1614747392
1,vaini,-21.2,-175.2,78.8,89,75,16.11,TO,1614747165
2,kapaa,22.0752,-159.319,71.6,73,40,24.16,US,1614747392
3,rikitea,-23.1203,-134.9692,78.73,70,34,4.25,PF,1614747347
4,caucaia,-3.7361,-38.6531,82.0,83,20,10.36,BR,1614747393
5,tasiilaq,65.6145,-37.6368,24.8,42,90,24.16,GL,1614747393
6,punta arenas,-53.15,-70.9167,46.4,76,0,8.05,CL,1614747393
7,busselton,-33.65,115.3333,72.0,83,100,3.0,AU,1614747183
8,cape town,-33.9258,18.4232,64.99,94,90,5.75,ZA,1614747393
9,luderitz,-26.6481,15.1594,67.5,66,0,9.48,NA,1614747393
10,obihiro,42.9172,143.2044,24.8,50,20,18.41,JP,1614747394
11,mananjary,-21.2167,48.3333,78.4,72,36,4.74,MG,1614747394
12,bage,-31.3314,-54.1069,71.6,94,75,6.91,BR,1614747394
13,dikson,73.5069,80.5464,-23.24,79,0,8.16,RU,1614747324
14,bethel,41.3712,-73.414,24.8,39,1,6.91,US,1614747394
15,lagoa,39.05,-27.9833,56.35,65,8,28.61,PT,1614747185
16,ixtapa,20.7,-105.2,70.0,88,1,1.92,MX,1614747235
17,vila velha,-20.3297,-40.2925,75.2,94,40,4.07,BR,1614747244
18,vanimo,-2.6741,141.3028,84.99,68,100,16.08,PG,1614747395
19,dovbysh,50.3733,27.9874,28.94,98,8,7.23,UA,1614747395
20,tuatapere,-46.1333,167.6833,64.99,71,61,13.0,NZ,1614747359
21,saint-philippe,-21.3585,55.7679,84.2,51,0,5.75,RE,1614747395
22,albany,42.6001,-73.9662,23.0,57,37,2.04,US,1614747314
23,geraldton,-28.7667,114.6,82.4,61,40,9.22,AU,1614747396
24,krasnoselkup,65.7,82.4667,-7.85,87,100,21.05,RU,1614747396
25,cidreira,-30.1811,-50.2056,75.92,90,100,9.8,BR,1614747160
26,kahului,20.8947,-156.47,71.6,73,40,19.57,US,1614747396
27,presidencia roque saenz pena,-26.7852,-60.4388,79.0,71,80,1.99,AR,1614747397
28,barra,-11.0894,-43.1417,75.06,69,42,8.25,BR,1614747397
29,yellowknife,62.456,-114.3525,-4.0,77,90,10.36,CA,1614747329
30,cabo san lucas,22.8909,-109.9124,66.2,68,75,8.05,MX,1614747160
31,fortuna,40.5982,-124.1573,48.99,90,52,3.27,US,1614747397
32,opuwo,-18.0607,13.84,64.0,72,18,5.88,NA,1614747200
33,cayenne,4.9333,-52.3333,73.4,94,75,10.87,GF,1614747397
34,georgetown,5.4112,100.3354,89.6,62,40,8.05,MY,1614747398
35,kibala,9.1104,18.3463,78.8,22,0,5.14,TD,1614747398
36,hasaki,35.7333,140.8333,52.0,37,20,11.5,JP,1614747192
37,vanavara,60.34,102.2797,-18.83,82,41,4.5,RU,1614747398
38,mataura,-46.1927,168.8643,64.99,71,81,13.0,NZ,1614747173
39,aktanysh,55.7216,54.0829,24.75,98,100,10.02,RU,1614747399
40,sept-iles,50.2001,-66.3821,9.0,61,75,8.05,CA,1614747399
41,kodiak,57.79,-152.4072,32.0,69,40,6.91,US,1614747257
42,pevek,69.7008,170.3133,-26.82,96,1,2.84,RU,1614747399
43,barcelos,41.5388,-8.6151,48.99,93,27,5.75,PT,1614747399
44,hithadhoo,-0.6,73.0833,82.83,69,36,10.85,MV,1614747214
45,clacton-on-sea,51.7897,1.156,39.99,99,0,1.99,GB,1614747399
46,butaritari,3.0707,172.7902,81.48,80,0,16.82,KI,1614747180
47,east london,-33.0153,27.9116,64.4,94,0,3.44,ZA,1614747399
48,taga,46.95,24.05,26.6,93,0,2.3,RO,1614747399
49,clyde river,70.4692,-68.5914,-16.6,83,20,5.75,CA,1614747355
50,qaanaaq,77.484,-69.3632,10.78,57,99,13.91,GL,1614747399
51,saskylakh,71.9167,114.0833,-36.26,80,72,1.28,RU,1614747400
52,kaitangata,-46.2817,169.8464,69.01,70,40,0.76,NZ,1614747400
53,ushuaia,-54.8,-68.3,48.2,61,20,8.05,AR,1614747168
54,avarua,-21.2078,-159.775,78.8,89,75,3.44,CK,1614747400
55,martapura,-3.4167,114.85,86.0,70,40,2.3,ID,1614747400
56,provideniya,64.3833,-173.3,-0.4,71,0,24.61,RU,1614747372
57,salalah,17.0151,54.0924,75.2,73,20,5.75,OM,1614747188
58,kuminskiy,58.6667,66.5667,10.02,93,100,10.22,RU,1614747401
59,valparaiso,-33.0393,-71.6273,61.0,79,4,4.52,CL,1614747401
60,aasiaat,68.7098,-52.8699,12.78,62,100,4.03,GL,1614747401
61,yulara,-25.2406,130.9889,104.0,13,13,6.91,AU,1614747401
62,qasigiannguit,68.8193,-51.1922,28.4,40,100,21.85,GL,1614747401
63,niimi,34.9833,133.4667,53.01,49,20,6.91,JP,1614747402
64,kalevala,65.2,31.1667,21.2,96,37,6.53,RU,1614747402
65,bredasdorp,-34.5322,20.0403,60.8,94,15,2.3,ZA,1614747329
66,ponta do sol,32.6667,-17.1,55.0,64,53,3.0,PT,1614747402
67,puerto ayora,-0.7393,-90.3518,75.99,95,59,1.01,EC,1614747402
68,yar-sale,66.8333,70.8333,6.42,94,100,17.69,RU,1614747402
69,arraial do cabo,-22.9661,-42.0278,76.44,87,99,23.29,BR,1614747348
70,sao filipe,14.8961,-24.4956,69.26,75,53,3.76,CV,1614747212
71,hermanus,-34.4187,19.2345,62.01,91,0,6.35,ZA,1614747402
72,nishihara,26.1842,127.7558,69.8,40,75,17.27,JP,1614747403
73,katsuura,35.1333,140.3,52.0,29,0,15.01,JP,1614747403
74,los llanos de aridane,28.6585,-17.9182,64.4,72,90,6.91,ES,1614747403
75,hobart,-42.8794,147.3294,62.6,45,75,17.27,AU,1614747330
76,sorland,67.667,12.6934,33.64,88,100,31.81,NO,1614747234
77,mar del plata,-38.0023,-57.5575,71.6,94,90,6.91,AR,1614747165
78,tazovskiy,67.4667,78.7,-5.33,91,100,23.13,RU,1614747280
79,thohoyandou,-22.9456,30.485,63.45,93,31,3.94,ZA,1614747403
80,lovozero,68.005,35.0117,13.66,95,76,10.33,RU,1614747403
81,nanortalik,60.1432,-45.2371,28.63,89,29,13.91,GL,1614747250
82,ostrovnoy,68.0531,39.5131,25.23,92,100,9.55,RU,1614747403
83,sterling,39.0062,-77.4286,33.01,69,1,6.38,US,1614747150
84,iqaluit,63.7506,-68.5145,-13.0,70,90,21.85,CA,1614747404
85,thompson,55.7435,-97.8558,-2.2,84,1,5.01,CA,1614747161
86,saldanha,-33.0117,17.9442,64.4,88,0,1.14,ZA,1614747404
87,tuktoyaktuk,69.4541,-133.0374,-18.4,76,75,10.36,CA,1614747404
88,mpika,-11.8343,31.4529,63.18,98,100,7.4,ZM,1614747404
89,tanout,14.9709,8.8879,67.93,22,0,13.11,NE,1614747404
90,okha,53.5739,142.9478,-3.08,80,0,16.33,RU,1614747167
91,inhambane,-23.865,35.3833,75.2,94,40,5.75,MZ,1614747212
92,anchorage,61.2181,-149.9003,12.2,92,1,2.51,US,1614747238
93,iquique,-20.2208,-70.1431,71.6,68,0,6.91,CL,1614747325
94,tommot,58.9564,126.2925,-5.66,85,75,2.57,RU,1614747405
95,tongliao,43.6125,122.2653,45.09,57,63,18.86,CN,1614747405
96,longyearbyen,78.2186,15.6401,5.0,72,0,6.91,SJ,1614747405
97,debre birhan,9.6833,39.5333,52.21,67,1,4.34,ET,1614747406
98,olean,42.0776,-78.4297,27.0,46,1,8.05,US,1614747406
99,san cristobal,7.7669,-72.225,63.79,87,32,1.61,VE,1614747182
100,thinadhoo,0.5333,72.9333,82.8,68,56,10.22,MV,1614747406
101,maniitsoq,65.4167,-52.9,26.83,48,100,9.13,GL,1614747406
102,carutapera,-1.195,-46.02,75.29,91,99,4.97,BR,1614747406
103,beringovskiy,63.05,179.3167,-16.24,80,0,3.51,RU,1614747407
104,cherskiy,68.75,161.3,-25.17,84,87,5.06,RU,1614747407
105,chilliwack,49.1747,-121.9443,41.0,81,99,1.14,CA,1614747134
106,jamestown,42.097,-79.2353,30.99,86,1,12.53,US,1614747322
107,naze,28.3667,129.4833,62.6,59,75,19.57,JP,1614747174
108,port alfred,-33.5906,26.891,66.99,96,25,1.99,ZA,1614747407
109,hambantota,6.1241,81.1185,84.2,70,20,10.36,LK,1614747249
110,darhan,49.4867,105.9228,29.43,90,100,6.4,MN,1614747408
111,lavrentiya,65.5833,-171.0,-17.99,82,10,13.49,RU,1614747172
112,peniche,39.3558,-9.3811,53.01,90,41,5.84,PT,1614747193
113,pokaran,26.9167,71.9167,83.68,12,0,5.46,IN,1614747200
114,bluff,-46.6,168.3333,64.99,71,62,13.0,NZ,1614747157
115,vao,-22.6667,167.4833,78.64,75,91,11.77,NC,1614747218
116,roald,62.5833,6.1333,42.8,87,90,17.27,NO,1614747408
117,mount gambier,-37.8333,140.7667,64.4,52,90,14.97,AU,1614747405
118,dunedin,-45.8742,170.5036,72.0,38,28,15.01,NZ,1614747165
119,klaksvik,62.2266,-6.589,42.8,100,75,6.91,FO,1614747409
120,chokurdakh,70.6333,147.9167,-27.29,85,96,8.01,RU,1614747345
121,esperance,-33.8667,121.9,77.0,50,90,13.8,AU,1614747341
122,vestmannaeyjar,63.4427,-20.2734,43.83,88,100,25.23,IS,1614747181
123,new norfolk,-42.7826,147.0587,61.0,65,99,1.01,AU,1614747319
124,graaff-reinet,-32.2522,24.5308,75.63,40,58,3.29,ZA,1614747409
125,upernavik,72.7868,-56.1549,20.7,83,100,6.6,GL,1614747409
126,lewistown,40.5992,-77.5714,28.4,54,1,5.5,US,1614747409
127,pangnirtung,66.1451,-65.7125,1.31,89,100,5.01,CA,1614747205
128,byron bay,-28.65,153.6167,75.2,64,90,9.22,AU,1614747351
